Part,Value,Device,Package,Description,DIGIKEY,MANUFACTURER,MPN,
A1,GPS-ANTENNA,GPS-ANTENNA,ANT1818B00BT1516S,,311-1531-ND,Yageo,ANT1818B00BT1516S,
B1,Battery,MS518SE,MS518SE-FL35E,Battery,728-1054-ND,Seiko Instruments,MS518SE-FL35E,
C1,12pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1059-1-ND,Yageo,CC0603JRNPO9BN120,
C2,12pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1059-1-ND,Yageo,CC0603JRNPO9BN120,
C3,12pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1059-1-ND,Yageo,CC0603JRNPO9BN120,
C4,12pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1059-1-ND,Yageo,CC0603JRNPO9BN120,
C5,33pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,399-7896-1-ND,KEMET,C0603C330J1GACTU,
C6,47pF,CAPACITOR0402_CAP,0402_CAP,SMD Capacitor,311-1065-1-ND,Yageo,CC0603JRNPO9BN470,
C7,47pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1065-1-ND,Yageo,CC0603JRNPO9BN470,
C8,47pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1065-1-ND,Yageo,CC0603JRNPO9BN470,
C9,47pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1065-1-ND,Yageo,CC0603JRNPO9BN470,
C10,47pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1065-1-ND,Yageo,CC0603JRNPO9BN470,
C11,47pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1065-1-ND,Yageo,CC0603JRNPO9BN470,
C12,47pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1065-1-ND,Yageo,CC0603JRNPO9BN470,
C13,56pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1066-1-ND,Yageo,CC0603JRNPO9BN560,
C14,100pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1069-1-ND,Yageo,CC0603JRNPO9BN101,
C15,820pF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,311-1189-1-ND,Yageo,CC0603KRX7R9BB821,
C16,10nF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-7194-1-ND,Murata Electronics,GRM033R61E103KA12D,
C17,10nF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-7194-1-ND,Murata Electronics,GRM033R61E103KA12D,
C18,10nF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-7194-1-ND,Murata Electronics,GRM033R61E103KA12D,
C19,10nF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-7194-1-ND,Murata Electronics,GRM033R61E103KA12D,
C20,10nF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-7194-1-ND,Murata Electronics,GRM033R61E103KA12D,
C21,47nF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-5854-1-ND,Murata Electronics,GCJ188R71H473KA12D,
C22,0.1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-5405-1-ND,Murata Electronics,GRM033R61A104ME15D,
C23,0.1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-6328-1-ND,Murata Electronics,GRM155R71C104KA88J ,
C24,0.1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-6328-1-ND,Murata Electronics,GRM155R71C104KA88J ,
C25,0.1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-6328-1-ND,Murata Electronics,GRM155R71C104KA88J ,
C26,0.1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-6328-1-ND,Murata Electronics,GRM155R71C104KA88J ,
C27,0.1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-6328-1-ND,Murata Electronics,GRM155R71C104KA88J ,
C28,100nF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-5405-1-ND,Murata Electronics,GRM033R61A104ME15D,
C29,100nF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-10777-1-ND,Murata,GRM155R71A104JA01D,
C30,0.82uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,399-3117-1-ND,KEMET,C0603C824K8PACTU,
C31,1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,399-3118-1-ND,KEMET,C0603C105K8PACTU,
C32,1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,399-3118-1-ND,KEMET,C0603C105K8PACTU,
C33,1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,399-3118-1-ND,KEMET,C0603C105K8PACTU,
C34,2.2uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-12738-1-ND,Murata Electronics,GRM188R61E225MA12D,
C35,4.7uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-10992-1-ND,Murata Electronics,ZRB18AR6YA475KE05L,
C36,4.7uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-10992-1-ND,Murata Electronics,ZRB18AR6YA475KE05L,
C37,4.7uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-10992-1-ND,Murata Electronics,ZRB18AR6YA475KE05L,
C38,4.7uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-10992-1-ND,Murata Electronics,ZRB18AR6YA475KE05L,
C39,4.7uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-10992-1-ND,Murata Electronics,ZRB18AR6YA475KE05L,
C40,4.7uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-10992-1-ND,Murata Electronics,ZRB18AR6YA475KE05L,
C41,10uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-14372-1-ND,Murata Electronics,GRM188R60J106KE47D,
C42,10uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-12538-1-ND,Murata Electronics,GRM188R60J106KE47D,
C43,10uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-12538-1-ND,Murata Electronics,GRM188R60J106KE47D,
C44,10uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,490-12538-1-ND,Murata Electronics,GRM188R60J106KE47D,
C45,100uF,C-USC1210,C1210,CAPACITOR,_490-9969-1-ND,_Murata Electronics,_GRM32ER61A107ME20L,
C46,220uF,C-USC1210,C1210,CAPACITOR,_490-16308-1-ND,_Murata Electronics,_GRM32ER60J227ME05L,
D1,GREEN,LED0603,LED-0603,LED (Generic),754-1121-1-ND,Kingbright,APT1608SGC,
D2,SML-LX0404SIUPGUSB,SML-LX0404SIUPGUSB,1MM_SQ_4PAD,1mm^2 RGB LED,67-2125-1-ND,Lumex Opto,SML-LX0404SIUPGUSB,
D3,14V,DIODE_ZENER0402,0402_DIODE,,PESD0402-140CT-ND,Littlefuse,PESD0402-140,
D4,14V,DIODE_ZENER0402,0402_DIODE,,PESD0402-140CT-ND,Littlefuse,PESD0402-140,
D5,BLUE,LED0603,LED-0603,LED,160-1837-6-ND ,Lite-On Inc.,LTST-C194TBKT,
D6,14V,DIODE_ZENER0402,0402_DIODE,,PESD0402-140CT-ND,Littlefuse,PESD0402-140,
D7,14V,DIODE_ZENER0402,0402_DIODE,,PESD0402-140CT-ND,Littlefuse,PESD0402-140,
FB1,600 ohm,FERRITE_BEAD0805,0805_CAP,,240-2390-1-ND,Laird Signal ,MI0805K601R,
IC1,TPS6300,TPS6300,DRC-S-PVSON-N10,HIGH EFFICIENT SINGLE INDUCTOR BUCK-BOOST CONVERTER WITH 1.8-A SWITCHES,TPS63000DRCTG4-ND,Texas Instruments,TPS63000DRCTG4,
J1,CON_MICRO_SDDM3AT-SF-PEJM5,CON_MICRO_SDDM3AT-SF-PEJM5,DM3AT-SF-PEJM5,CONN MICRO SD R/A PUSH-PUSH SMD,HR1964CT-ND,Hirose Electric,DM3AT-SF-PEJM5,
J2,MICRO_USB_B_HIROSE_ZX62R-B-5P,MICRO_USB_B_HIROSE_ZX62R-B-5P,USB_MICRO_B-HIROSE-ZX62R-B-5P,USB Micro B Connector,H125274CT-ND,Hirose Electric,ZX62R-B-5P(30),
J3,NANO_SIM,NANO_SIM,WURTH_NANO_SIM,WURTH Nano SIM Connector,732-5954-1-ND,WŸrth Elektronik,693043020611,
J4,NANO_SIM,NANO_SIM,WURTH_NANO_SIM,WURTH Nano SIM Connector,732-5954-1-ND,WŸrth Elektronik,693043020611,
J5,NANO_SIM,NANO_SIM,WURTH_NANO_SIM,WURTH Nano SIM Connector,732-5954-1-ND,WŸrth Elektronik,693043020611,
J6,NANO_SIM,NANO_SIM,WURTH_NANO_SIM,WURTH Nano SIM Connector,732-5954-1-ND,WŸrth Elektronik,693043020611,
J7,TC2030-JLINK-L,TC2030-JLINK-L,TC2030-IDC,,TC2030-IDC-ND,Tag-Connect LLC,TC2030-IDC,
J8,U.FL-R-SMT,U.FL-R-SMT,U.FL_SMT,U.FL-R-SMT Antenna Connector,H122041-ND,Hirose,U.FL-R-SMT-1(01),
JP1,,M024UCON-15767,JST-2-SMD-VERT,Header 2,455-1734-1-ND,JST Sales America Inc.,B2B-PH-SM4-TB(LF)(SN),
L1,5.6nH,INDUCTOR_0603_M,RESC0603_M,Generic chip inductor,490-15723-1-ND,Murata Electronics,LQW18AN5N6G8ZD,
L2,15nH,INDUCTOR_0603_M,RESC0603_M,Generic chip inductor,490-15648-1-ND,Murata Electronics,LQW18AN15NG8ZD,
L3,2.2uH,INDUCTOR_0603_M,RESC0603_M,Generic chip inductor,490-14478-1-ND,Murata Electronics,LQM18PN2R2MGHD,
L4,10uH,INDUCTOR_0603_M,RESC0603_M,Generic chip inductor,587-1720-1-ND,Taiyo Yuden,CBMF1608T100K,
L5,1k,INDUCTOR_0603_M,RESC0603_M,Generic chip inductor,490-1015-1-ND,Murata Electronics,BLM18AG102SN1D,
L6,1k,INDUCTOR_0603_M,RESC0603_M,Generic chip inductor,490-1015-1-ND,Murata Electronics,BLM18AG102SN1D,
LED1,BLUE,LED0603,LED-0603,LED,511-1578-1-ND ,Rohm,SML-D12M8WT86,
Q1,MOSFET-NCHANNELSMD,MOSFET-NCHANNELSMD,SOT23-3,Generic NMOS footprint,2N7002LT1GOSCT-ND,ON Semiconductor,2N7002LT1G,
Q2,MOSFET-NCHANNELSMD,MOSFET-NCHANNELSMD,SOT23-3,Generic NMOS footprint,2N7002LT1GOSCT-ND,ON Semiconductor,2N7002LT1G,
Q3,MOSFET-NCHANNELSMD,MOSFET-NCHANNELSMD,SOT23-3,Generic NMOS footprint,2N7002LT1GOSCT-ND,ON Semiconductor,2N7002LT1G,
Q4,SI223DDS,SI223DDS,SOT23-3,6A SOT-23 P Fet,SI2333DDS-T1-GE3CT-ND,Vishay Siliconix,SI2333DDS-T1-GE3,
R1,27,R-US_R0603,R0603,RESISTOR,311-27GRCT-ND,Yageo,RC0603JR-0727RL,
R2,27,R-US_R0603,R0603,RESISTOR,311-27GRCT-ND,Yageo,RC0603JR-0727RL,
R3,100,R-US_R0603,R0603,RESISTOR,311-100HRCT-ND,Yageo,RC0603FR-07100RL,
R4,100,R-US_R0603,R0603,RESISTOR,311-100HRCT-ND,Yageo,RC0603FR-07100RL,
R5,100,R-US_R0603,R0603,RESISTOR,311-100HRCT-ND,Yageo,RC0603FR-07100RL,
R6,100,R-US_R0603,R0603,RESISTOR,311-100HRCT-ND,Yageo,RC0603FR-07100RL,
R7,470,R-US_R0603,R0603,RESISTOR,311-470HRCT-ND,Yageo,RC0603FR-07470RL,
R8,470,R-US_R0603,R0603,RESISTOR,311-470HRCT-ND,Yageo,RC0603FR-07470RL,
R9,470,R-US_R0603,R0603,RESISTOR,311-470HRCT-ND,Yageo,RC0603FR-07470RL,
R10,1k,R-US_R0603,R0603,RESISTOR,311-1.0KGRCT-ND,Yageo,RC0603JR-071KL,
R11,1k,R-US_R0603,R0603,RESISTOR,311-1.0KGRCT-ND,Yageo,RC0603JR-071KL,
R12,1k,R-US_R0603,R0603,RESISTOR,311-1.0KGRCT-ND,Yageo,RC0603JR-071KL,
R13,2k,R-US_R0603,R0603,RESISTOR,311-2.00KHRCT-ND,Yageo,RC0603FR-072KL,
R14,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R15,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R16,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R17,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R18,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R19,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R20,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R21,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R22,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R23,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R24,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R25,10k,R-US_R0603,R0603,RESISTOR,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
R26,100k,R-US_R0603,R0603,RESISTOR,311-100KGRCT-ND,Yageo,RC0603JR-07100KL,
R27,100k,R-US_R0603,R0603,RESISTOR,311-100KGRCT-ND,Yageo,RC0603JR-07100KL,
R28,100k,R-US_R0603,R0603,RESISTOR,311-100KGRCT-ND,Yageo,RC0603JR-07100KL,
R29,100k,R-US_R0603,R0603,RESISTOR,311-100KGRCT-ND,Yageo,RC0603JR-07100KL,
R30,100k,R-US_R0603,R0603,RESISTOR,311-100KGRCT-ND,Yageo,RC0603JR-07100KL,
R31,100k,R-US_R0603,R0603,RESISTOR,311-100KGRCT-ND,Yageo,RC0603JR-07100KL,
R32,200k,R-US_R0603,R0603,RESISTOR,311-200KGRTR-ND,Yageo,RC0603JR-07200KL,
R33,499k,R-US_R0603,R0603,RESISTOR,311-499KHRCT-ND,Yageo,RC0603FR-07499KL,
R34,825k,R-US_R0603,R0603,RESISTOR,311-825KHRCT-ND,Yageo,RC0603FR-07825KL,
R35,1M,R-US_R0603,R0603,RESISTOR,311-1.00MHRCT-ND,Yageo,RC0603FR-071ML,
R36,1.3M,R-US_R0603,R0603,RESISTOR,YAG3326CT-ND,Yageo,RC0603FR-071M3L,
R37,2.2M,R-US_R0603,R0603,RESISTOR,311-2.2MGRCT-ND,Yageo,RC0603JR-072M2L,
R38,10M,R-US_R0603,R0603,RESISTOR,311-10MGRCT-ND,Yageo,RC0603JR-0710ML,
TP13,TEST-POINT,TEST-POINT,PAD.03X.03,,,,,
TP14,TEST-POINT,TEST-POINT,PAD.03X.03,,,,,
TP15,TPTP06SQ,TPTP06SQ,TP06SQ,Test pad,,,,
U$5,.1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,,,,
U1,AB1815-T3,AB1815-T3,QFN-16-3MM,Ultra-low current RTC. 55nA quiescent @ 3V. 1.5-3.6V input.,535-11936-1-ND,Abracon,AB1815-T3,
